File Size(MB),Number of segment,c distribution,delta,Theoretical redundancy,Actual redundancy,reed solomon,GC content per strand,Number of backtrack,Total DNA sequence,Theoretical DNA sequence,Average degree,Single degree droplets,Sequence discarded,Decoded status,decoding cross checked,Insertion percentage,Mutation Percentage,deletion percentage,strand deletion percentage,Total mutation,Total deletion,Total Insertion,Total Strand deletion,Error concentrated in start and end,Encoding time,Decoding time,Information density (bits/nt),Total affected sequence for insertion error, total affected sequence for deletion error,Total affected sequence for mutation error,Percentage of affected sequence for insertion error, Percentage of affected sequence for mutation error, percentage of affected sequence for deletion error,Sequence affected by all kinds of error,Percentage of sequence affected by all kinds of error
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0,0,0,0,0,0,0,0,1,34.437129974365234,8.880285263061523,0.9763591102321257,0,0,0,0.0,0.0,0.0,0,0.0
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.0,0.008888888888888889,0.026666666666666665,0,334,1004,0,0,1,34.437129974365234,8.880569458007812,0.9763591102321257,0,988,334,0.0,0.89,2.62,1315,3.49
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.022222222222222223,0.0044444444444444444,0.03111111111111111,0,167,1172,837,0,1,34.437129974365234,8.915698051452637,0.9763591102321257,824,1153,167,2.19,0.44,3.06,2117,5.62
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.022222222222222223,0.0044444444444444444,0.022222222222222223,0,167,837,837,0,1,34.437129974365234,8.903594732284546,0.9763591102321257,830,830,167,2.2,0.44,2.2,1784,4.73
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.03111111111111111,0.04,0.03111111111111111,0,1507,1172,1172,0,0,34.437129974365234,8.937607526779175,0.9763591102321257,1152,1155,1485,3.06,3.94,3.07,3664,9.72
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.0044444444444444444,0.022222222222222223,0.03111111111111111,0,837,1172,167,0,1,34.437129974365234,8.919697284698486,0.9763591102321257,167,1156,825,0.44,2.19,3.07,2108,5.59
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.026666666666666665,0.022222222222222223,0.022222222222222223,0,837,837,1004,0,0,34.437129974365234,9.038228034973145,0.9763591102321257,984,829,828,2.61,2.2,2.2,2570,6.82
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.035555555555555556,0.0044444444444444444,0.013333333333333332,0,167,502,1339,0,0,34.437129974365234,8.998715877532959,0.9763591102321257,1316,498,167,3.49,0.44,1.32,1963,5.21
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.0,0.008888888888888889,0.013333333333333332,0,334,502,0,0,0,34.437129974365234,8.88594937324524,0.9763591102321257,0,499,333,0.0,0.88,1.32,828,2.2
1.0,32768,0.025,0.001,0.15,15.0,2,0.0,2116500,37683,37684,0.0,80,4233,1,1,0.035555555555555556,0.022222222222222223,0.0044444444444444444,0,837,167,1339,0,0,34.437129974365234,9.067331075668335,0.9763591102321257,1315,167,831,3.49,2.21,0.44,2277,6.04
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0,0,0,0,0,0,0,0,1,70.97117805480957,18.6246075630188,0.9763591102321257,0,0,0,0.0,0.0,0.0,0,0.0
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.013333333333333332,0.03111111111111111,0.022222222222222223,0,2344,1674,1004,0,0,70.97117805480957,18.79841637611389,0.9763591102321257,999,1661,2308,1.33,3.06,2.2,4863,6.45
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.03111111111111111,0.04,0.04,0,3014,3014,2344,0,0,70.97117805480957,19.080572366714478,0.9763591102321257,2307,2946,2955,3.06,3.92,3.91,7924,10.51
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.035555555555555556,0.0044444444444444444,0.035555555555555556,0,334,2679,2679,0,1,70.97117805480957,18.775367259979248,0.9763591102321257,2629,2638,334,3.49,0.44,3.5,5492,7.29
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.04,0.035555555555555556,0.008888888888888889,0,2679,669,3014,0,1,70.97117805480957,18.573382139205933,0.9763591102321257,2951,667,2622,3.92,3.48,0.89,6086,8.08
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.022222222222222223,0.008888888888888889,0.04,0,669,3014,1674,0,1,70.97117805480957,18.65000557899475,0.9763591102321257,1657,2955,661,2.2,0.88,3.92,5157,6.84
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.022222222222222223,0.017777777777777778,0.013333333333333332,0,1339,1004,1674,0,1,70.97117805480957,18.41813826560974,0.9763591102321257,1653,999,1333,2.19,1.77,1.33,3924,5.21
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.022222222222222223,0.04,0.026666666666666665,0,3014,2009,1674,0,0,70.97117805480957,18.771628379821777,0.9763591102321257,1656,1972,2951,2.2,3.92,2.62,6372,8.45
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.0,0.013333333333333332,0.0044444444444444444,0,1004,334,0,0,1,70.97117805480957,18.46789813041687,0.9763591102321257,0,333,999,0.0,1.33,0.44,1329,1.76
2.0,65536,0.025,0.001,0.15,15.0,2,0.0,4334500,75366,75367,0.0,125,8669,1,1,0.0044444444444444444,0.03111111111111111,0.03111111111111111,0,2344,2344,334,0,0,70.97117805480957,18.587989807128906,0.9763591102321257,332,2305,2308,0.44,3.06,3.06,4853,6.44
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0,0,0,0,0,0,0,0,1,104.62990498542786,28.4233078956604,0.9763591102321257,0,0,0,0.0,0.0,0.0,0,0.0
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.04,0.0044444444444444444,0.008888888888888889,0,502,1004,4521,0,0,104.62990498542786,28.478622674942017,0.9763591102321257,4430,998,501,3.92,0.44,0.88,5871,5.19
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.013333333333333332,0.013333333333333332,0.022222222222222223,0,1507,2512,1507,0,0,104.62990498542786,28.533981323242188,0.9763591102321257,1499,2481,1496,1.33,1.32,2.19,5372,4.75
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.04,0.0044444444444444444,0.008888888888888889,0,502,1004,4521,0,0,104.62990498542786,28.478810787200928,0.9763591102321257,4436,1001,501,3.92,0.44,0.89,5887,5.21
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.026666666666666665,0.026666666666666665,0.03111111111111111,0,3014,3517,3014,0,0,104.62990498542786,28.616413116455078,0.9763591102321257,2972,3452,2972,2.63,2.63,3.05,9114,8.06
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.013333333333333332,0.0,0.017777777777777778,0,0,2009,1507,0,1,104.62990498542786,28.34928011894226,0.9763591102321257,1495,1990,0,1.32,0.0,1.76,3469,3.07
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.008888888888888889,0.017777777777777778,0.04,0,2009,4521,1004,0,0,104.62990498542786,28.591221570968628,0.9763591102321257,995,4419,1988,0.88,1.76,3.91,7278,6.44
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.03111111111111111,0.022222222222222223,0.0044444444444444444,0,2512,502,3517,0,0,104.62990498542786,28.476948738098145,0.9763591102321257,3459,501,2487,3.06,2.2,0.44,6338,5.61
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.035555555555555556,0.008888888888888889,0.026666666666666665,0,1004,3014,4019,0,0,104.62990498542786,29.474838733673096,0.9763591102321257,3938,2960,1001,3.48,0.89,2.62,7747,6.85
3.0,98304,0.025,0.001,0.15,15.0,2,0.0,6507000,113049,113050,0.0,164,13014,1,1,0.035555555555555556,0.008888888888888889,0.03111111111111111,0,1004,3517,4019,0,1,104.62990498542786,29.31001377105713,0.9763591102321257,3965,3461,1000,3.51,0.88,3.06,8252,7.3
4.0,131072,0.025,0.001,0.15,15.0,2,0.0,8584500,150732,150733,0.0,182,17169,1,1,0,0,0,0,0,0,0,0,1,139.1224901676178,38.5638747215271,0.9763591102321257,0,0,0,0.0,0.0,0.0,0,0.0
4.0,131072,0.025,0.001,0.15,15.0,2,0.0,8584500,150732,150733,0.0,182,17169,1,1,0.013333333333333332,0.008888888888888889,0.0044444444444444444,0,1339,669,2009,0,0,139.1224901676178,39.15844202041626,0.9763591102321257,1999,667,1332,1.33,0.88,0.44,3968,2.63
4.0,131072,0.025,0.001,0.15,15.0,2,0.0,8584500,150732,150733,0.0,182,17169,1,1,0.03111111111111111,0.013333333333333332,0.008888888888888889,0,2009,1339,4689,0,0,139.1224901676178,40.34503245353699,0.9763591102321257,4625,1333,1995,3.07,1.32,0.88,7847,5.21
4.0,131072,0.025,0.001,0.15,15.0,2,0.0,8584500,150732,150733,0.0,182,17169,1,1,0.013333333333333332,0.035555555555555556,0.026666666666666665,0,5359,4019,2009,0,0,139.1224901676178,38.53487229347229,0.9763591102321257,1997,3960,5274,1.32,3.5,2.63,10977,7.28
